tradename,busloc,jobstatusdesc,licencetypes,comdistnm
AMY'S CONFECTIONERY,933 7 AV SW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",DOWNTOWN COMMERCIAL CORE                
AN AFFAIR TO REMEMBER,3716 2 ST NE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),GREENVIEW INDUSTRIAL PARK               
AN NAM PHO VIETNAMESE CUISINE & GRILL,#13 5269 MEMORIAL DR SE CALGARY,Licensed,FOOD SERVICE - PREMISES (SEATING),FOREST HEIGHTS                          
AN TATTOO,#110A 2640 52 ST NE CALGARY,Renewal Licensed,"PERSONAL SERVICE (TATTOO), RETAIL DEALER - PREMISES",PINERIDGE                               
ANACRUSIS MUSIC,907 HERITAGE DR SW CALGARY,Pending Renewal,"SCHOOL (PROV. NOT REQUIRED), RETAIL DEALER - PREMISES",HAYSBORO                                
ANALOG COFFEE,740 17 AV SW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",BELTLINE                                
ANANTA HEALTH,2745 17 AV SW CALGARY,Renewal Licensed,"PERSONAL SERVICE, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",KILLARNEY/GLENGARRY                     
ANA'S SALON,#100 10 ASPENSHIRE DR SW CALGARY,Renewal Licensed,PERSONAL SERVICE,ASPEN WOODS
ANB STEEL/COPPERSMITH INTR,#6 5610 46 ST SE CALGARY,Renewal Licensed,MANUFACTURER,FOOTHILLS                               
ANDANA PAINTING & RESTORATIONS,4150F 14A ST SE CALGARY,Renewal Licensed,AUTO BODY SHOP,ALYTH/BONNYBROOK                        
ANDARO'S PIZZA,#216 677 COUGAR RIDGE DR SW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),COUGAR RIDGE
ANDEMAR FIRE & SAFETY,#101 3740C 11A ST NE CALGARY,Licensed,RETAIL DEALER - PREMISES,MCCALL                                  
ANDERSEN STEEL FABRICATION,515B 36 AV NE CALGARY,Renewal Licensed,MANUFACTURER,GREENVIEW INDUSTRIAL PARK               
ANDERSON CONTROLS & ELECTRICAL,115 62 AV SE CALGARY,Renewal Licensed,CONTRACTOR,MANCHESTER INDUSTRIAL                   
ANDERSON PLUMBING CO,4510 6A ST NE CALGARY,Renewal Licensed,CONTRACTOR,GREENVIEW INDUSTRIAL PARK               
ANDERSON ROAD AREA WELLNESS CLINIC,#8 11440 BRAESIDE DR SW CALGARY,Renewal Licensed,"MASSAGE CENTRE (COMMERCIAL), FOOD SERVICE - PREMISES",BRAESIDE                                
ANDRE'S MOTORCYCLE ACCESSORY CENTRE,#110 5701 17 AV SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,FOREST LAWN INDUSTRIAL                  
ANDREWS AUTO GALLERY,5815E 36 ST SE CALGARY,Renewal Licensed,MOTOR VEHICLE DEALER - PREMISES,FOOTHILLS                               
ANDRIES ELECTRICAL SYSTEMS,#4 1935 30 AV NE CALGARY,Renewal Licensed,CONTRACTOR,SOUTH AIRWAYS                           
ANDY'S MECHANICAL SERVICES,#1 977 41 AV NE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),GREENVIEW INDUSTRIAL PARK               
ANDY'S SPORTSCARDS & COLLECTIBLES,10093 HIDDEN VALLEY DR NW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, SECONDHAND DEALER",HIDDEN VALLEY                           
ANEJO RESTAURANT,#2 2116 4 ST SW CALGARY,Pending Renewal,"ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",MISSION                                 
ANEW TABLE,3574 GARRISON GA SW CALGARY,Pending Renewal,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",GARRISON WOODS
ANG CANADA ,1007D 55 AV NE CALGARY,Expired,MANUFACTURER,SKYLINE EAST                            
ANGEL NAILS & SPA 1 ,#525 1851 SIROCCO DR SW CALGARY,Renewal Licensed,PERSONAL SERVICE,SIGNAL HILL                             
ANGELA NAILS,#2 5268 MEMORIAL DR NE CALGARY,Pending Renewal,PERSONAL SERVICE,MARLBOROUGH                             
ANGELO'S & LUIGI'S MEN'S HAIRSTYLING & BEAUTY SERVICE,2705D CENTRE ST NW CALGARY,Renewal Licensed,PERSONAL SERVICE,TUXEDO PARK                             
ANGEL'S BAKESHOP AND RESTAURANT,#112 6800 MEMORIAL DR NE CALGARY,Expired,FOOD SERVICE - PREMISES (SEATING),MARLBOROUGH PARK                        
ANGEL'S CAPPUCCINO AND ICE CREAM,4105 MONTGOMERY VW NW CALGARY,Renewal Licensed,"FOOD SERVICE - PREMISES, OUTDOOR PATIO",MONTGOMERY                              
ANGEL'S DRIVE-IN AND PIZZA,8603 47 AV NW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),BOWNESS                                 
ANGEL'S PAWNBROKERS,#101A 3517 17 AV SE CALGARY,Pending Renewal,"RETAIL DEALER - PREMISES, PAWNBROKER",SOUTHVIEW                               
ANGEL'S ROOFING,4564 14 ST NE CALGARY,Licensed,CONTRACTOR,MCCALL                                  
ANGLES HAIR & AESTHETICS,#13 1200 37 ST SW CALGARY,Renewal Licensed,PERSONAL SERVICE,ROSSCARROCK                             
ANGLES HAIR AND SPA,#155 5005 DALHOUSIE DR NW CALGARY,Expired,"PERSONAL SERVICE, RETAIL DEALER - PREMISES",DALHOUSIE                               
ANGLES HAIR DESIGN,#420 555 STRATHCONA BV SW CALGARY,Renewal Licensed,PERSONAL SERVICE,STRATHCONA PARK                         
ANGLES HAIR DESIGN,#304 3630 BRENTWOOD RD NW CALGARY,Renewal Licensed,PERSONAL SERVICE,BRENTWOOD                               
ANGLES HAIR SALON,#1644 1632 14 AV NW CALGARY,Renewal Licensed,"PERSONAL SERVICE, BODY RUB CENTRE (GRANDFATHERED MASSAGE CENTRE COMMERCIAL)",HOUNSFIELD HEIGHTS/BRIAR HILL           
ANGLES HAIR SALON,5983 SIGNAL HILL CE SW CALGARY,Renewal Licensed,"PERSONAL SERVICE, RETAIL DEALER - PREMISES",SIGNAL HILL                             
ANGLES HAIR SALON,#156 8888 COUNTRY HILLS BV NW CALGARY,Renewal Licensed,"PERSONAL SERVICE, RETAIL DEALER - PREMISES",ROYAL VISTA                             
ANGLES HAIR SALON,#100 620 8 AV SW CALGARY,Renewal Licensed,PERSONAL SERVICE,DOWNTOWN COMMERCIAL CORE                
ANGLES HAIR SALON,#317 751 3 ST SW CALGARY,Renewal Licensed,PERSONAL SERVICE,DOWNTOWN COMMERCIAL CORE                
ANGLES SALON,#222 16061 MACLEOD TR SE CALGARY,Pending Renewal,"PERSONAL SERVICE, RETAIL DEALER - PREMISES",SHAWNESSY                               
ANGLIA STEEL,6120 40 ST SE CALGARY,Renewal Licensed,MANUFACTURER,FOOTHILLS                               
ANGLIAN INTERIORS,#103 2845 23 ST NE CALGARY,Renewal Licensed,CONTRACTOR (NO DEPOSITS OR PROGRESS PAYMENTS),SOUTH AIRWAYS                           
ANGLICAN PARISH OF ST MARK AND ST PHILIP (THE),1802 33 AV SW CALGARY,Renewal Licensed,"CHARITABLE ORGANIZATION, FOOD SERVICE - PREMISES",SOUTH CALGARY                           
ANGLO PRECISION MACHINING,#3 3521 78 AV SE CALGARY,Renewal Licensed,MANUFACTURER,FOOTHILLS                               
ANILIN DECORATING SUPPLIES,3230 28 ST SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,RICHMOND                                
ANIMAL CLINIC (WEST),921 37 ST SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,ROSSCARROCK                             
ANIMAL OASIS (THE),#129 5403 CROWCHILD TR NW CALGARY,Expired,"KENNEL SERVICE/PET DEALER, RETAIL DEALER - PREMISES",VARSITY                                 
ANIMODELING ZONE,#286 328 CENTRE ST SE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, WHOLESALER",CHINATOWN                               
ANIPET ANIMAL SUPPLIES,4707 52 AV SE CALGARY,Renewal Licensed,WHOLESALER,FOOTHILLS                               
ANIXTER CANADA,#105 1820 100 AV NE CALGARY,Renewal Licensed,WHOLESALER,STONEY 2                                
ANIXTER POWER SOLUTIONS,7705 FLINT RD SE CALGARY,Renewal Licensed,WHOLESALER,FAIRVIEW INDUSTRIAL                     
ANJU RESTAURANT,344 17 AV SW CALGARY,Renewal Invoiced,"ENTERTAINMENT ESTABLISHMENT, TOBACCO RETAILER, RETAIL DEALER - PREMISES, ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES, OUTDOOR PATIO",BELTLINE                                
ANNA,4508 8 AV SE CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),FOREST HEIGHTS                          
ANNA BRAUN,#124 45 EDENWOLD DR NW CALGARY,Renewal Licensed,PERSONAL SERVICE,EDGEMONT                                
ANNA JEWELLERS,3831A BOW TR SW CALGARY,Renewal Licensed,"MANUFACTURER, RETAIL DEALER - PREMISES, SECONDHAND DEALER",ROSSCARROCK                             
ANNA LUC'S ALTERATIONS AND FASHIONS,#209 126 16 AV NE CALGARY,Pending Renewal,RETAIL DEALER - PREMISES,TUXEDO PARK                             
ANNAPOLIS APARTMENT,641 MEREDITH RD NE CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BRIDGELAND/RIVERSIDE                    
ANNE PATERSON'S FLOWERS,924 17 AV SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,BELTLINE                                
ANNIE'S BAKERY AND MUSE MEADOWS,15985 BOW BOTTOM TR SE CALGARY,Renewal Licensed,"ENTERTAINMENT ESTABLISHMENT, ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",FISH CREEK PARK                         
ANNIE'S CHOICE INTERNATIONAL,#1675 1632 14 AV NW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,HOUNSFIELD HEIGHTS/BRIAR HILL           
ANNIE'S KITCHEN,11229 30 ST SW CALGARY,Licensed,FOOD SERVICE - PREMISES (NO SEATING),CEDARBRAE                               
ANN-LOUISE JEWELLERS,#173 6455 MACLEOD TR SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MEADOWLARK PARK                         
ANN-LOUISE JEWELLERS,#3L 3625 SHAGANAPPI TR NW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,VARSITY                                 
ANN'S RESTAURANT ,#11 3610 50 AV SE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),EASTFIELD                               
ANODIZING CALGARY,#1105 8800 VENTURE AV SE CALGARY,Renewal Invoiced,MANUFACTURER,RESIDUAL WARD 12 - SUB AREA 12A
ANOTHER DIMENSION,424B 10 ST NW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, SECONDHAND DEALER",SUNNYSIDE                               
ANOTHER DIMENSION CUSTOM STAINLESS,219 41 AV NE CALGARY,Renewal Licensed,"MANUFACTURER, CONTRACTOR (NO DEPOSITS OR PROGRESS PAYMENTS)",GREENVIEW INDUSTRIAL PARK               
ANOVA HEALTH GROUP,4818 16 ST SW CALGARY,Renewal Licensed,"PERSONAL SERVICE, RETAIL DEALER - PREMISES",ALTADORE                                
ANS AUTO SALES,8610 HORTON RD SW CALGARY,Renewal Invoiced,MOTOR VEHICLE DEALER - PREMISES,HAYSBORO                                
ANSWER COMPANY CONSULTING (THE),#200 1935 32 AV NE CALGARY,Licensed,WHOLESALER,SOUTH AIRWAYS                           
ANTHEIA FLORAL,#8 606 MEREDITH RD NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,BRIDGELAND/RIVERSIDE                    
ANTHEM PROPERTIES GROUP,216 RIVERFRONT AV SW CALGARY,Licensed,CONTRACTOR (NO DEPOSITS OR PROGRESS PAYMENTS),CHINATOWN                               
ANTHONY OF CALGARY JEWELLERS,#1179 3800 MEMORIAL DR NE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, SECONDHAND DEALER",MARLBOROUGH                             
ANTHONY VARGO,24 PANATELLA BV NW CALGARY,Licensed,PERSONAL SERVICE,PANORAMA HILLS                          
ANTHONY'S HAIR,#138 1623 CENTRE ST NW CALGARY,Renewal Licensed,PERSONAL SERVICE,CRESCENT HEIGHTS                        
ANTHRATECH WESTERN,4450 46 AV SE CALGARY,Renewal Invoiced,"WHOLESALER, CONTRACTOR",EASTFIELD                               
ANTHROPOLOGIE,#1241 6455 MACLEOD TR SW CALGARY,Licensed,RETAIL DEALER - PREMISES,MEADOWLARK PARK                         
ANTIGONISH APARTMENT ,1837 11 AV SW CALGARY,Pending Renewal,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),SUNALTA                                 
ANTIGUA/BARBUDA ASSOCIATION,#115 3208 8 AV NE CALGARY,Renewal Licensed,"CHARITABLE ORGANIZATION, ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",FRANKLIN                                
ANTIMO'S AUTOTECH,#104 211 36 AV NE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),GREENVIEW INDUSTRIAL PARK               
ANTON ENERGY SERVICES,#1050 633 6 AV SW CALGARY,Renewal Licensed,WHOLESALER,DOWNTOWN COMMERCIAL CORE                
ANTONI HAIRSTYLISTS,#133 131 9 AV SW CALGARY,Renewal Licensed,PERSONAL SERVICE,DOWNTOWN COMMERCIAL CORE                
ANTONIO'S TAILOR SHOP,#175 401 9 AV SW CALGARY,Expired,MANUFACTURER,DOWNTOWN COMMERCIAL CORE                
ANVY DIGITAL IMAGING,#103 3016 10 AV NE CALGARY,Renewal Licensed,MANUFACTURER,FRANKLIN                                
ANWALT INTERNATIONAL,4001 23 ST NE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, MOTOR VEHICLE REPAIR AND SERVICE (1)",NORTH AIRWAYS                           
ANYTHING CAFE,3512 19 ST SW CALGARY,Licensed,FOOD SERVICE - PREMISES (NO SEATING),ALTADORE                                
ANYTIME FITNESS,#21 9620 ELBOW DR SW CALGARY,Renewal Licensed,PERSONAL SERVICE,HAYSBORO                                
ANYTIME FITNESS,#159 14919 DEER RIDGE DR SE CALGARY,Licensed,PERSONAL SERVICE,DEER RIDGE                              
ANYTIME FITNESS,3450 SUNRIDGE WY NE CALGARY,Expired,"PERSONAL SERVICE, RETAIL DEALER - PREMISES",SUNRIDGE                                
ANYTIME FITNESS,1222 1 ST SW CALGARY,Renewal Licensed,PERSONAL SERVICE,BELTLINE                                
ANYTIME FITNESS,716 8 AV SW CALGARY,Renewal Licensed,"PERSONAL SERVICE, RETAIL DEALER - PREMISES",DOWNTOWN COMMERCIAL CORE                
ANYTIME FITNESS,#214 19369 SHERIFF KING ST SW CALGARY,Renewal Licensed,"PERSONAL SERVICE, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",SILVERADO                               
ANYTIME FITNESS,#36 12192 SYMONS VALLEY RD NW CALGARY,Renewal Licensed,"PERSONAL SERVICE, RETAIL DEALER - PREMISES",EVANSTON
ANYTIME FITNESS BRENTWOOD,#120 3830 BRENTWOOD RD NW CALGARY,Licensed,"FOOD SERVICE - PREMISES, PERSONAL SERVICE (FITNESS CONDITIONING)",BRENTWOOD                               
ANYTIME FITNESS WEST SPRING,#335 722 85 ST SW CALGARY,Renewal Licensed,"PERSONAL SERVICE, RETAIL DEALER - PREMISES",WEST SPRINGS
ANZ COLLISION,#3131 5150 47 ST NE CALGARY,Renewal Licensed,"MOTOR VEHICLE DEALER - NO PREMISES, AUTO BODY SHOP",WESTWINDS                               
ANZAC SECURITY SERVICES,#240 5701 17 AV SE CALGARY,Renewal Licensed,SECURITY CONSULTING AGENCY,FOREST LAWN INDUSTRIAL                  
A-ORGANIC TOUCH & WELLNESS,4824 MACLEOD TR SW CALGARY,Renewal Licensed,"PERSONAL SERVICE, MASSAGE CENTRE (COMMERCIAL)",MANCHESTER                              
AO-TA BEAUTY SALON,#14 100 ANDERSON RD SE CALGARY,Renewal Licensed,PERSONAL SERVICE,WILLOW PARK                             
APA GROUP,5725 BURBANK RD SE CALGARY,Renewal Licensed,WHOLESALER,BURNS INDUSTRIAL                        
APARTMENT ,929 37 ST SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),ROSSCARROCK                             
APARTMENT  BUILDING,2424 14 ST SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),UPPER MOUNT ROYAL                       
APARTMENT BUILDING,1204 GLADSTONE RD NW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),HILLHURST                               
APARTMENT BUILDING,407 1 AV NE CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),CRESCENT HEIGHTS                        
APARTMENT BUILDING,232 6 AV NE CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),CRESCENT HEIGHTS                        
APARTMENT BUILDING,2705 38 ST SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),GLENBROOK                               
APARTMENT BUILDING,1726 41 ST SE CALGARY,Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),FOREST LAWN                             
APARTMENT BUILDING,2712 BRENTWOOD BV NW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BRENTWOOD                               
APARTMENT BUILDING,1617 34 AV SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),ALTADORE                                
APARTMENT BUILDING,1601 13 AV SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),SUNALTA                                 
APARTMENT BUILDING,2303 22 ST NW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BANFF TRAIL                             
APARTMENT BUILDING,2724 40 ST SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),GLENBROOK                               
APARTMENT BUILDING,1003 40 AV NW CALGARY,Renewal Invoiced,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),CAMBRIAN HEIGHTS                        
APARTMENT BUILDING,1830 18A ST SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BANKVIEW                                
APARTMENT BUILDING,625 2 AV NE CALGARY,Renewal Invoiced,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BRIDGELAND/RIVERSIDE                    
APARTMENT BUILDING,3223 14 ST NW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),COLLINGWOOD                             
APARTMENT BUILDING,1929 11 AV SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),SUNALTA                                 
APARTMENT BUILDING,1818 41 ST SE CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),FOREST LAWN                             
APARTMENT BUILDING,437 11A ST NW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),HILLHURST                               
APARTMENT BUILDING,1721 9 ST SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),MOUNT ROYAL LOWER                       
APARTMENT BUILDING,3720 15A ST SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),ALTADORE                                
APARTMENT BUILDING,3723 15 ST SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),ALTADORE                                
APARTMENT BUILDING,1518 15 AV SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),SUNALTA                                 
APARTMENT BUILDING,1420 1 ST NW CALGARY,Renewal Invoiced,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),CRESCENT HEIGHTS                        
APARTMENT BUILDING,531 19 AV SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),CLIFF BUNGALOW                          
APARTMENT BUILDING,1141 5 AV NW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),HILLHURST                               
APARTMENT BUILDING,6421 TRAVOIS PL NW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),THORNCLIFFE                             
APARTMENT BUILDING,#2 742 KINGSMERE CR SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),KINGSLAND                               
APARTMENT BUILDING,2113 2 ST SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),MISSION                                 
APARTMENT BUILDING,2812 33 ST SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),KILLARNEY/GLENGARRY                     
APARTMENT BUILDING,2312 2 AV NW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),WEST HILLHURST                          
APARTMENT BUILDING,#4 742 KINGSMERE CR SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),KINGSLAND                               
APARTMENT BUILDING,1640 12 AV SW CALGARY,Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),SUNALTA                                 
APARTMENT BUILDING,416 7 ST NW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),SUNNYSIDE                               
APARTMENT BUILDING,4323 75 ST NW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BOWNESS                                 
APARTMENT BUILDING,1714 37 ST SE CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),FOREST LAWN                             
APARTMENT BUILDING,810 4A ST NE CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),RENFREW                                 
APARTMENT BUILDING,733 44 AV NW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),HIGHWOOD                                
APARTMENT BUILDING,2120 16 ST SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BANKVIEW                                
APARTMENT BUILDING,818 4 ST NE CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),RENFREW                                 
APARTMENT BUILDING,211 12 AV SW CALGARY,Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BELTLINE                                
APARTMENT BUILDING,655 4 AV NE CALGARY,Pending Renewal,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BRIDGELAND/RIVERSIDE                    
APARTMENT BUILDING,1519 11 AV SW CALGARY,Expired,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),SUNALTA                                 
