District Name,School Name,Organization Type,Organization Code,StreetLocation,Latitude,Longitude,Zipcode,Phone,,,,
Norwich School District,Thomas W. Mahan School,Public Schools,1041711,"94 Salem Tpke.
Norwich, CT 06360
",41.51152053200008, -72.11263391899996,6360,860-823-4205,,,,
Waterbury School District,Driggs School,Public Schools,1510911,"77 Woodlawn Terrace
Waterbury, CT 06710
",41.564070396000034, -73.04304679299997,6710,203-574-8160,,,,
Manchester School District,Martin School,Public Schools,771611,"140 Dartmouth Rd.
Manchester, CT 06040
",41.75261417000007, -72.51115667899995,6040,860-647-3367,,,,
Simsbury School District,Simsbury School District,Public School Districts,1280011,"933 HOPMEADOW STREET
SIMSBURY, CT 06070
",41.88024090400006, -72.80010517099998,6070,860-651-3361,,,,
Oxford School District,Quaker Farms School,Public Schools,1080311,"30 Great Oak Rd.
Oxford, CT 06478
",41.426332606000074, -73.14202080299998,6478,203-888-5842,,,,
Ridgefield School District,Veterans Park Elementary School,Public Schools,1180211,"8 Governor St.
Ridgefield, CT 06877
",41.28039334400006, -73.49761982199993,6877,203-438-6571,,,,
Department of Mental Health and Addiction Services,Department of Mental Health and Addiction Services,State Agencies,3370015,"410 Capitol Avenue, Box 341431
Hartford, CT 06134
",41.763858156000026, -72.68869852399996,6134,860-262-7009,,,,
East Windsor School District,East Windsor Middle School,Public Schools,475411,"38 Main St.
Broad Brook, CT 06016
",41.92256306200005, -72.54451754199994,6016,860-623-4488,,,,
Ansonia School District,Ansonia High School,Public Schools,26111,"20 Pulaski Hwy.
Ansonia, CT 06401
",41.32952394200004, -73.06333012499994,6401,203-736-5060,,,,
Windsor School District,Clover Street School,Public Schools,1640111,"57 Clover St.
Windsor, CT 06095
",41.832160490000035, -72.66259527199998,6095,860-687-2050,,,,
Branford School District,Mary T. Murphy School,Public Schools,141411,"14 Brushy Plain Rd.
Branford, CT 06405
",41.29349114900003, -72.81947935799997,6405,203-483-1832,,,,
Windham School District,Windham High School,Public Schools,1636111,"355 High St.
Willimantic, CT 06226
",41.72293710800005, -72.21594361699994,6226,860-465-2480,,,,
Stonington School District,West Broad Street School,Public Schools,1370411,"131 West Broad St.
Pawcatuck, CT 06379
",41.376142006000066, -71.83744597299994,6379,860-599-5633,,,,
Ellington School District,Crystal Lake School,Public Schools,480211,"284 Sandy Beach Rd.
Ellington, CT 06029
",41.93164603900004, -72.37885685499998,6029,860-896-2322,,,,
Portland School District,Valley View School,Public Schools,1130211,"81 High St.
Portland, CT 06480
",41.57996884900007, -72.62550610099998,6480,860-342-3131,,,,
Norwich School District,Norwich School District,Public School Districts,1040011,"MAHAN DRIVE
Norwich, CT 06360
",41.54790613500006, -72.07734593699996,6360,860-823-4200,,,,
Canterbury School District,Canterbury Elementary School,Public Schools,220211,"67 Kitt Rd.
Canterbury, CT 06331
",41.70230964600006, -71.98816742799994,6331,860-546-6744,,,,
Ridgefield School District,Scotland Elementary School,Public Schools,1180511,"111 Barlow Mountain Rd.
Ridgefield, CT 06877
",41.32372531000004, -73.51043312899998,6877,203-438-6563,,,,
Groton School District,Catherine Kolnaski Magnet School,Public Schools,592011,"500 Poquonnock Rd.
Groton, CT 06340
",41.343477033000056, -72.06315508199998,6340,860-449-5608,,,,
Side By Side Charter School District,Side By Side Charter School,Public Charter Schools,2700113,"10 Chestnut St.
Norwalk, CT 06854
",41.095891807000044, -73.42024886899998,6854,203-857-0306,,,,
Avon School District,Avon School District,Public School Districts,40011,"34 SIMSBURY ROAD
AVON, CT 06001
",41.81524990500003, -72.82986400199997,6001,860-404-4700,,,,
Hartford School District,Pathways Academy of Technology and Design,Public Schools,646611,"2 Pent Road
East Hartford, CT 06118
",41.74056938200005, -72.63770463499998,6118,860-695-9450,,,,
Norwalk School District,Norwalk School District,Public School Districts,1030011,"125 EAST AVENUE, BOX 6001
Norwalk, CT 06852
",41.11366293000003, -73.40761783999994,6852,203-854-4001,,,,
New Haven School District,Metropolitan Business High School,Public Schools,936011,"115 Water Street
New Haven, CT 06511
",41.300906170000076, -72.91840301399998,6511,203-946-6731,,,,
Ellington School District,Ellington School District,Public School Districts,480011,"47 MAIN STREET, BOX 157
Ellington, CT 06029
",41.902561397000056, -72.46429544199998,6029,860-896-2300,,,,
Bristol School District,Greene-Hills School,Public Schools,170511,"718 Pine St.
Bristol, CT 06010
",41.66891440100005, -72.89679336699999,6010,860-584-7822,,,,
Manchester School District,Robertson School,Public Schools,771011,"65 North School St.
Manchester, CT 06042
",41.79720981600008, -72.52543732799995,6042,860-647-3372,,,,
East Hartford School District,Governor William Pitkin School,Public Schools,432011,"330 Hills St.
East Hartford, CT 06118
",41.74209564200004, -72.59024487499994,6118,860-622-5480,,,,
Bristol School District,Northeast Middle School,Public Schools,175211,"530 Stevens St.
Bristol, CT 06010
",41.71495956600006, -72.90906839399997,6010,860-584-7839,,,,
New Canaan School District,New Canaan School District,Public School Districts,900011,"39 LOCUST AVENUE
NEW CANAAN, CT 06840
",41.14897399800003, -73.49189881299998,6840,203-594-4018,,,,
Torrington School District,Forbes School,Public Schools,1430211,"500 Migeon Ave.
Torrington, CT 06790
",41.81360727600003, -73.13368253299996,6790,860-489-2500,,,,
Bloomfield School District,Wintonbury Early Childhood Magnet School,Public Schools,110811,"44 Brown St.
Bloomfield, CT 06002
",41.837399066000046, -72.74678678699996,6002,860-769-5510,,,,
Orange School District,Peck Place School,Public Schools,1070511,"500 Peck Ln.
Orange, CT 06477
",41.26464125800004, -73.02820742299997,6477,203-891-8034,,,,
Newington School District,Elizabeth Green School,Public Schools,940211,"30 Thomas St.
Newington, CT 06111
",41.71419815100006, -72.72271838699999,6111,860-666-3394,,,,
Stratford School District,David Wooster Middle School,Public Schools,1385211,"150 Lincoln St.
Stratford, CT 06615
",41.211013973000036, -73.14037634199997,6615,203-385-4275,,,,
Norwalk School District,Roton Middle School,Public Schools,1035511,"201 Highland Ave.
Norwalk, CT 06854
",41.07748179400005, -73.43330946899994,6854,203-899-2930,,,,
East Hartford School District,Stevens Alternate High school,Public Schools,436411,"40 Butternut Dr.
East Hartford, CT 06118
",41.75549487400008, -72.59528823099998,6118,860-622-5999,,,,
Waterbury School District,Michael F. Wallace Middle School,Public Schools,1515111,"3465 East Main St.
Waterbury, CT 06705
",41.543238959000064, -72.97351251999999,6705,203-574-8140,,,,
New Canaan School District,New Canaan High School,Public Schools,906111,"11 Farm Rd.
New Canaan, CT 06840
",41.13172199200005, -73.48751000999994,6840,203-594-4600,,,,
Stamford School District,Roxbury School,Public Schools,1350911,"751 Westhill Rd.
Stamford, CT 06902
",41.04772944700005, -73.53816780299996,6902,203-977-4287,,,,
New Britain School District,New Britain High School,Public Schools,896111,"110 Mill St.
New Britain, CT 06051
",41.65113271000007, -72.77786843699994,6051,860-225-6350,,,,
Fairfield School District,Fairfield Woods Middle School,Public Schools,515211,"1115 Fairfield Woods Rd.
Fairfield, CT 06824
",41.18796621800004, -73.24980416799997,6824,203-255-8334,,,,
Regional School District 13,Frederick Brewster School,Regional Schools,2130112,"126 Tuttle Rd.
Durham, CT 06422
",41.46811734500005, -72.70187986799993,6422,860-349-7227,,,,
Torrington School District,Vogel-Wetmore School,Public Schools,1431311,"68 Church St.
Torrington, CT 06790
",41.80387691300007, -73.12234186399996,6790,860-489-2570,,,,
Farmington School District,East Farms School,Public Schools,520411,"25 Wolf Pit Rd.
Farmington, CT 06032
",41.71966363700005, -72.79818127399994,6032,860-674-9519,,,,
New Haven School District,Quinnipiac Real World Math STEM School,Public Schools,933511,"460 Lexington Avenue
New Haven, CT 06513
",41.30915933400007, -72.88269776199996,6513,203-946-6155,,,,
Windsor School District,Windsor High School,Public Schools,1646111,"50 Sage Park Rd.
Windsor, CT 06095
",41.84288034100007, -72.65731506999998,6095,860-687-2020,,,,
Shelton School District,Shelton School District,Public School Districts,1260011,"PO BOX 846, 124 MEADOW ST
Shelton, CT 06484
",41.301516873000025, -73.12438858499996,6484,203-924-1023,,,,
East Granby School District,East Granby High School,Public Schools,406111,"95 South Main St.
East Granby, CT 06026
",41.95655307100003, -72.72293685799997,6026,860-653-2541,,,,
Greenwich School District,Glenville School,Public Schools,570411,"33 Riversville Rd.
Greenwich, CT 06831
",41.04073446500007, -73.66379109199994,6831,203-531-9287,,,,
Hartford School District,Bulkeley High School Upper School,Public Schools,647111,"300 Wethersfield Avenue
Hartford, CT 06114
",41.74771374300008, -72.67345006599999,6114,860-695-1011,,,,
Putnam School District,Putnam Elementary School,Public Schools,1160311,"33 Wicker St.
Putnam, CT 06260
",41.92324814500006, -71.91816619399998,6260,860-963-6925,,,,
Windsor Locks School District,Windsor Locks High School,Public Schools,1656111,"58 South Elm St.
Windsor Locks, CT 06096
",41.922258860000056, -72.64781384499997,6096,860-292-5032,,,,
Newington School District,Anna Reynolds School,Public Schools,940611,"85 Reservoir Rd.
Newington, CT 06111
",41.715963542000054, -72.74655863499999,6111,860-521-7830,,,,
West Hartford School District,Duffy School,Public Schools,1550611,"95 Westminster St.
West Hartford, CT 06107
",41.74680782200005, -72.75222094799994,6107,860-521-0110,,,,
Connecticut Technical High School System,W. F. Kaynor Technical High School,CT Technical High Schools,9002316,"43 Tompkins St.
Waterbury, CT 06708
",41.57469483300008, -73.06549916499995,6708,203-596-4302,,,,
Waterbury School District,Gilmartin School,Public Schools,1512611,"107 Wyoming Ave.
Waterbury, CT 06706
",41.523985251000056, -73.02921191199994,6706,203-574-8175,,,,
Norwich School District,Wequonnoc School,Public Schools,1041511,"155 Providence St.
Taftville, CT 06380
",41.56891740300006, -72.05479892299996,6380,860-823-4210,,,,
Stamford School District,Toquam Magnet School,Public Schools,1351911,"123 Ridgewood Ave.
Stamford, CT 06907
",41.08179364500006, -73.52295065199996,6907,203-977-4556,,,,
Ledyard School District,Gales Ferry School,Public Schools,720211,"1858 Route 12
Gales Ferry, CT 06335
",41.45304680700008, -72.07058337799998,6335,860-464-7664,,,,
Guilford School District,Guilford High School,Public Schools,606111,"605 New England Rd.
Guilford, CT 06437
",41.313843691000045, -72.71335678699995,6437,203-453-2741,,,,
Hartland School District,Hartland School District,Public School Districts,650011,"PO BOX 559, 30 SOUTH ROAD
East Hartland, CT 06027
",41.999037986000076, -72.90208941299994,6027,860-653-7207,,,,
Rocky Hill School District,Rocky Hill School District,Public School Districts,1190011,"761 Old Main St
Rocky Hill, CT 06067
",41.66691442500007, -72.63747155099998,6067,860-258-7701,,,,
Manchester School District,Illing Middle School,Public Schools,775311,"227 Middle Tpke E
Manchester, CT 06040
",41.78377763200007, -72.51331835999997,6040,860-647-3400,,,,
Area Cooperative Educational Services,Area Cooperative Educational Services,Regional Education Service Center School Districts,2440014,"350 State Street
North Haven, CT 06473
",41.36925577100004, -72.88665651499997,6473,203-498-6817,,,,
Stamford School District,Newfield School,Public Schools,1350611,"349 Pepper Ridge Rd.
Stamford, CT 06905
",41.09113296700008, -73.54056837899998,6905,203-977-4282,,,,
Bristol School District,Bristol Eastern High School,Public Schools,176211,"632 King St.
Bristol, CT 06010
",41.685845622000045, -72.92510870499996,6010,860-584-7876,,,,
Meriden School District,Washington Middle School,Public Schools,805411,"1225 North Broad St.
Meriden, CT 06450
",41.55146494300004, -72.78051061899998,6450,203-235-6606,,,,
Wallingford School District,Evarts C. Stevens School,Public Schools,1480911,"18 Kondracki Ln.
Wallingford, CT 06492
",41.43315655300006, -72.81649540399997,6492,203-294-3750,,,,
Waterbury School District,Waterbury Career Academy,Public Schools,1516711,"175 Birch Street
Waterbury, CT 06704
",41.558303712000054, -73.02121930099997,6704,203-574-8000,,,,
Guilford School District,Melissa Jones School,Public Schools,600311,"181 Ledge Hill Rd.
Guilford, CT 06437
",41.36893313300004, -72.72735470699996,6437,203-457-0773,,,,
"New Beginnings Inc., Family Academy District","New Beginnings Inc., Family Academy",Public Charter Schools,2800113,"184 Garden St.
Bridgeport, CT 06605
",41.16934258500004, -73.19864904299999,6605,203-384-2897,,,,
Stonington School District,Stonington School District,Public School Districts,1370011,"49 NORTH STONINGTON ROAD
OLD MYSTIC, CT 06372
",41.39129772200005, -71.96219954799994,6372,860-572-0506,,,,
Suffield School District,Suffield School District,Public School Districts,1390011,"350 MOUNTAIN ROAD
SUFFIELD, CT 06078
",41.983502231000045, -72.66398997199997,6078,860-668-3800,,,,
Connecticut Technical High School System,H. H. Ellis Technical High School,CT Technical High Schools,9001316,"613 Upper Maple St.
Danielson, CT 06239
",41.81924371400004, -71.89279616599998,6239,860-412-7500,,,,
Bridgeport School District,Bassick High School,Public Schools,156111,"1181 Fairfield Ave.
Bridgeport, CT 06605
",41.17396156500007, -73.20687120199995,6605,203-576-7350,,,,
Stonington School District,Pawcatuck Middle School,Public Schools,1375111,"40 Field St.
Pawcatuck, CT 06359
",41.37083210000003, -71.84395568899998,6359,860-599-5696,,,,
Waterford School District,Great Neck Elementary School,Public Schools,1520211,"165 Great Neck Rd.
Waterford, CT 06385
",41.31392581500006, -72.13259041999999,6385,860-442-2593,,,,
East Hartford School District,Dr. Franklin H. Mayberry School,Public Schools,430611,"101 Great Hill Rd.
East Hartford, CT 06108
",41.77615298300003, -72.59538386999998,6108,860-622-5720,,,,
Seymour School District,Chatfield-LoPresti School,Public Schools,1240211,"55 Skokorat St.
Seymour, CT 06483
",41.40311224900006, -73.05535824299994,6483,203-888-4640,,,,
Capitol Region Education Council,Public Safety Academy,Regional Education Service Center Schools,2415214,"1617 King Street
Enfield, CT 06082
",41.949482670000066, -72.60192537399996,6082,860-253-0274,,,,
New Haven School District,Cooperative High School,Public Schools,936411,"177 College Street
New Haven, CT 06511
",41.30534064500006, -72.93004372699994,6511,203-691-2400,,,,
Hartford School District,Burns Latino Studies Academy,Public Schools,640611,"195 Putnam Street
Hartford, CT 06106
",41.761441801000046, -72.69043674999995,6106,860-695-2980,,,,
Stamford School District,Rippowam Middle School,Public Schools,1355811,"381 High Ridge Rd.
Stamford, CT 06905
",41.08456035100005, -73.54907452399993,6905,203-977-5255,,,,
West Hartford School District,Charter Oak International Academy,Public Schools,1550511,"425 Oakwood Ave.
West Hartford, CT 06110
",41.743248006000044, -72.72070043199994,6110,860-233-8506,,,,
Bristol School District,West Bristol School,Public Schools,172011,"500 Clark Avenue
Bristol, CT 06010
",41.684609669000054, -72.98421703199995,6010,860-584-7815,,,,
